TS; TRIESTE    ; V.LE MIRAMARE 49       ; V.LE MIRAMARE 49       ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,746;1,694
PN; PORCIA     ; VIA SPINAZZEDO 10      ; VIA SPINAZZEDO 10      ,  PORCIA     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,745;1,745
PN; SPILIMBERGO; VIA MANIAGO 2          ; VIA MANIAGO 2          ,  SPILIMBERGO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,745;1,745
UD; FORGARIA NEL FRIULI    ; FRAZ.FLAGOGNA VIA PINZANO 8   ; FRAZ.FLAGOGNA VIA PINZANO 8   ,  FORGARIA NEL FRIULI    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,745;1,735
GO; S. CANZIAN D'ISONZO    ; FRAZ.PIERIS VIA BATTISTI 22   ; FRAZ.PIERIS VIA BATTISTI 22   ,  S. CANZIAN D'ISONZO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,743;1,743
GO; STARANZANO ; VIA TRIESTE 33         ; VIA TRIESTE 33         ,  STARANZANO ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,743;1,743
UD; TARCENTO   ; LOC.COLLALTO SS 13 KM 146+398 ; LOC.COLLALTO SS 13 KM 146+398 ,  TARCENTO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,742;1,677
PN; PRAVISDOMINI           ; VIA FRATTINA 46        ; VIA FRATTINA 46        ,  PRAVISDOMINI           ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,741;1,741
TS; TRIESTE    ; VIA DELL'ISTRIA 155    ; VIA DELL'ISTRIA 155    ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,741;1,694
TS; TRIESTE    ; VIA FORTI 2; VIA FORTI 2,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,741;1,689
TS; TRIESTE    ; VIA DELL'ISTRIA 210    ; VIA DELL'ISTRIA 210    ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,741;1,689
TS; TRIESTE    ; MONTE SAN PANTALEONE-AREA SUD ; MONTE SAN PANTALEONE-AREA SUD ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  A/N;1,741;1,629
